内容,分类,页码,长度
(78.0%),财务数据,18,7
一组，于2023 年1 月1 日起执行附加资本0.25%等要求。,财务数据,19,32
9.22%,财务数据,19,5
8.97%,财务数据,19,5
8.64%,财务数据,19,5
8.41%,财务数据,19,5
10.90%,财务数据,19,6
10.65%,财务数据,19,6
10.40%,财务数据,19,6
10.18%,财务数据,19,6
13.43%,财务数据,19,6
13.19%,财务数据,19,6
13.01%,财务数据,19,6
12.79%,财务数据,19,6
6.43%,财务数据,20,5
6.44%,财务数据,20,5
6.39%,财务数据,20,5
6.36%,财务数据,20,5
于2023 年1 月1 日起执行附加杠杆率0.125%的要求，即杠杆率的最低监管要求为4.125%，当前本集团杠杆率满,财务数据,20,59
112.34%,财务数据,20,7
101.25%,财务数据,20,7
115.60%,财务数据,20,7
105.49%,财务数据,20,7
108.59%,财务数据,20,7
109.44%,财务数据,20,7
(3.8%),财务数据,21,6
12.6%,财务数据,21,5
(3.4%),财务数据,22,6
16.7%,财务数据,22,5
11.5%,财务数据,22,5
(3.4%),财务数据,22,6
1.06%,财务数据,22,5
1.05%,财务数据,22,5
0.63%,财务数据,22,5
0.61%,财务数据,22,5
1.37%,财务数据,22,5
1.32%,财务数据,22,5
"动等因素影响，本集团实现营业收入1,646.99 亿元，同比下降8.4%。通过数字化转型驱动经营降本",财务数据,23,50
增效，加强资产质量管控，加大不良资产清收处置力度，本集团实现净利润464.55 亿元，同比增长,财务数据,23,47
2.1%。,财务数据,23,5
"规模保持稳健增长，大力支持实体经济。2023 年末，本集团资产总额55,871.16 亿元，较上年末",财务数据,23,50
"增长5.0%，其中，发放贷款和垫款本金总额34,075.09 亿元，较上年末增长2.4%；本行持续加大实",财务数据,23,52
"体经济支持力度，普惠、制造业、涉农、绿色金融等领域贷款实现较好增长。负债总额51,147.88 亿",财务数据,23,49
"元，较上年末增长4.7%，其中，吸收存款本金余额34,072.95 亿元，较上年末增长2.9%。",财务数据,23,48
管控，推动风险防范和化解。2023 年末，不良贷款率1.06%，较上年末上升0.01 个百分点；逾期贷,财务数据,23,51
和0.59；拨备覆盖率277.63%，风险抵补能力保持良好。,财务数据,23,30
素，本集团核心一级资本充足率、一级资本充足率及资本充足率分别为9.22%、10.90%及13.43%，,财务数据,23,51
"2023 年，本集团实现营业收入1,646.99 亿元，同比下降8.4%；其中利息净收入1,179.91 亿元，",财务数据,24,56
同比下降9.3%；非利息净收入467.08 亿元，同比下降6.1%。,财务数据,24,34
71.6%,财务数据,24,5
72.3%,财务数据,24,5
(9.3%),财务数据,24,6
83.0%,财务数据,24,5
80.8%,财务数据,24,5
82.3%,财务数据,24,5
(2.4%),财务数据,24,6
13.7%,财务数据,24,5
14.0%,财务数据,24,5
(2.7%),财务数据,24,6
100.0%,财务数据,24,6
100.0%,财务数据,24,6
(0.6%),财务数据,24,6
11.8%,财务数据,24,5
53.3%,财务数据,24,5
68.9%,财务数据,24,5
67.8%,财务数据,24,5
12.8%,财务数据,24,5
15.5%,财务数据,24,5
19.7%,财务数据,24,5
(12.5%),财务数据,24,7
100.0%,财务数据,24,6
100.0%,财务数据,24,6
11.0%,财务数据,24,5
28.4%,财务数据,24,5
27.7%,财务数据,24,5
(6.1%),财务数据,24,6
17.9%,财务数据,24,5
16.8%,财务数据,24,5
(2.6%),财务数据,24,6
10.5%,财务数据,24,5
10.9%,财务数据,24,5
(11.7%),财务数据,24,7
100.0%,财务数据,24,6
100.0%,财务数据,24,6
(8.4%),财务数据,24,6
"2023 年，本集团实现利息净收入1,179.91 亿元，同比下降9.3%。一方面，本行持续加大对实体",财务数据,25,51
"经济的信贷投放力度，2023 年发放贷款和垫款日均余额33,877.14 亿元，同比2022 年增长6.2%；另",财务数据,25,56
5.43%,财务数据,25,5
5.90%,财务数据,25,5
3.11%,财务数据,25,5
3.13%,财务数据,25,5
1.54%,财务数据,25,5
1.49%,财务数据,25,5
2.69%,财务数据,25,5
1.74%,财务数据,25,5
4.58%,财务数据,25,5
4.83%,财务数据,25,5
2.20%,财务数据,25,5
2.09%,财务数据,25,5
2.57%,财务数据,25,5
2.68%,财务数据,25,5
2.31%,财务数据,25,5
1.94%,财务数据,25,5
2.27%,财务数据,25,5
2.16%,财务数据,25,5
3.23%,财务数据,25,5
3.81%,财务数据,25,5
2.31%,财务数据,25,5
2.67%,财务数据,25,5
2.38%,财务数据,25,5
2.75%,财务数据,25,5
5.08%,财务数据,26,5
5.33%,财务数据,26,5
3.04%,财务数据,26,5
3.10%,财务数据,26,5
1.54%,财务数据,26,5
1.54%,财务数据,26,5
2.82%,财务数据,26,5
2.73%,财务数据,26,5
4.34%,财务数据,26,5
4.53%,财务数据,26,5
2.19%,财务数据,26,5
2.20%,财务数据,26,5
2.64%,财务数据,26,5
2.57%,财务数据,26,5
2.36%,财务数据,26,5
2.38%,财务数据,26,5
2.28%,财务数据,26,5
2.28%,财务数据,26,5
2.89%,财务数据,26,5
3.13%,财务数据,26,5
2.06%,财务数据,26,5
2.25%,财务数据,26,5
2.11%,财务数据,26,5
2.30%,财务数据,26,5
4.00%,财务数据,26,5
3.90%,财务数据,26,5
2.02%,财务数据,26,5
2.10%,财务数据,26,5
6.58%,财务数据,26,5
7.38%,财务数据,26,5
5.43%,财务数据,26,5
5.90%,财务数据,26,5
3.89%,财务数据,26,5
4.03%,财务数据,26,5
1.89%,财务数据,26,5
1.88%,财务数据,26,5
6.10%,财务数据,26,5
6.39%,财务数据,26,5
5.08%,财务数据,26,5
5.33%,财务数据,26,5
2023 年，本行发放贷款和垫款平均收益率5.43%，同比2022 年下降47 个基点。企业贷款平均,财务数据,26,50
收益率4.00%，同比2022 年上升10 个基点，主要受外币市场利率上升影响；个人贷款平均收益率,财务数据,26,49
6.58%，同比2022 年下降80 个基点，主要是本行加大抵押类贷款投放力度，加强对普惠、消费等重,财务数据,26,50
2.13%,财务数据,27,5
2.00%,财务数据,27,5
1.13%,财务数据,27,5
0.90%,财务数据,27,5
2.82%,财务数据,27,5
2.67%,财务数据,27,5
2.97%,财务数据,27,5
3.35%,财务数据,27,5
2.33%,财务数据,27,5
2.33%,财务数据,27,5
0.21%,财务数据,27,5
0.27%,财务数据,27,5
2.93%,财务数据,27,5
3.10%,财务数据,27,5
2.20%,财务数据,27,5
2.09%,财务数据,27,5
2.12%,财务数据,27,5
2.13%,财务数据,27,5
1.12%,财务数据,27,5
1.11%,财务数据,27,5
2.81%,财务数据,27,5
2.85%,财务数据,27,5
2.94%,财务数据,27,5
2.94%,财务数据,27,5
2.34%,财务数据,27,5
2.36%,财务数据,27,5
0.20%,财务数据,27,5
0.20%,财务数据,27,5
2.89%,财务数据,27,5
2.94%,财务数据,27,5
2.19%,财务数据,27,5
2.20%,财务数据,27,5
2023 年，吸收存款平均成本率2.20%，同比2022 年上升11 个基点，主要受外币市场利率大幅,财务数据,27,50
2023 年，本集团实现非利息净收入467.08 亿元，同比下降6.1%。,财务数据,28,37
2023 年，本集团手续费及佣金净收入294.30 亿元，同比下降2.6%。手续费及佣金收入中，结算,财务数据,28,50
手续费收入32.94 亿元，同比增长8.3%，主要是对公结算业务手续费收入增加；代理及委托手续费,财务数据,28,48
收入76.97 亿元，同比增长5.5%，主要是代理个人保险等手续费收入增加；银行卡手续费收入161.28,财务数据,28,52
亿元，同比下降13.1%，主要是信用卡业务手续费收入减少；其他手续费及佣金收入61.78 亿元，同,财务数据,28,49
比下降10.2%，主要是理财业务、贸易融资等手续费收入减少。,财务数据,28,30
(13.1%),财务数据,28,7
(11.9%),财务数据,28,7
(10.2%),财务数据,28,7
(7.2%),财务数据,28,6
(25.6%),财务数据,28,7
(2.6%),财务数据,28,6
2023年，本集团其他非利息净收入172.78亿元，同比下降11.7%，主要是受市场波动因素影响，,财务数据,28,49
21.2%,财务数据,28,5
(128.5%),财务数据,28,8
(85.4%),财务数据,28,7
310.7%,财务数据,28,6
(20.0%),财务数据,28,7
(11.7%),财务数据,28,7
2023 年，本集团业务及管理费459.59 亿元，同比下降6.9%，成本收入比27.90%，同比上升0.45,财务数据,28,55
计提信用及其他资产减值损失590.94 亿元，同比下降17.1%。本集团持续优化业务结构，强化不良,财务数据,29,49
(200.7%),财务数据,29,8
(168.3%),财务数据,29,8
"2,500.0%",财务数据,29,8
(2.1%),财务数据,29,6
(492.1%),财务数据,29,8
(35.5%),财务数据,29,7
249.6%,财务数据,29,6
(17.1%),财务数据,29,7
2023 年，本集团计提的所得税费用为112.63 亿元，同比下降4.0%；实际所得税税率19.51%，,财务数据,29,52
(4.0%),财务数据,29,6
19.51%,财务数据,29,6
20.50%,财务数据,29,6
"2023 年末，本集团资产总额55,871.16 亿元，较上年末增长5.0%；其中，发放贷款和垫款本金",财务数据,30,51
"总额34,075.09 亿元，较上年末增长2.4%。",财务数据,30,26
61.2%,财务数据,30,5
62.8%,财务数据,30,5
61.0%,财务数据,30,5
62.6%,财务数据,30,5
(9.6%),财务数据,30,6
(1.7%),财务数据,30,6
(1.9%),财务数据,30,6
(0.6%),财务数据,30,6
59.5%,财务数据,30,5
60.9%,财务数据,30,5
25.6%,财务数据,30,5
26.1%,财务数据,30,5
(3.7%),财务数据,30,6
(4.8%),财务数据,30,6
(41.5%),财务数据,30,7
88.9%,财务数据,30,5
(29.8%),财务数据,30,7
(11.4%),财务数据,30,7
(11.5%),财务数据,30,7
(3.7%),财务数据,30,6
17.2%,财务数据,30,5
100.0%,财务数据,30,6
100.0%,财务数据,30,6
本行于2011 年7 月收购原平安银行时形成商誉，2023 年末，商誉余额75.68 亿元。有关商誉及,财务数据,30,51
(13.0%),财务数据,31,7
100.0%,财务数据,31,6
(12.9%),财务数据,31,7
(6.6%),财务数据,31,6
(42.8%),财务数据,31,7
"2023 年末，本集团负债总额51,147.88 亿元，较上年末增长4.7%；其中，吸收存款本金余额",财务数据,31,50
"34,072.95 亿元，较上年末增长2.9%。",财务数据,31,24
67.6%,财务数据,31,5
68.6%,财务数据,31,5
66.6%,财务数据,31,5
67.8%,财务数据,31,5
28.8%,财务数据,31,5
14.9%,财务数据,31,5
(14.5%),财务数据,31,7
(51.3%),财务数据,31,7
15.6%,财务数据,31,5
337.1%,财务数据,31,6
(7.4%),财务数据,31,6
(36.1%),财务数据,31,7
14.2%,财务数据,31,5
14.2%,财务数据,31,5
(10.3%),财务数据,31,7
22.0%,财务数据,31,5
100.0%,财务数据,31,6
100.0%,财务数据,31,6
(3.4%),财务数据,31,6
16.7%,财务数据,31,5
29.2%,财务数据,32,5
29.2%,财务数据,32,5
37.2%,财务数据,32,5
35.8%,财务数据,32,5
20.9%,财务数据,32,5
22.2%,财务数据,32,5
20.7%,财务数据,32,5
10.4%,财务数据,32,5
(62.9%),财务数据,32,7
22.1%,财务数据,32,5
100.0%,财务数据,32,6
100.0%,财务数据,32,6
"2023 年末，本集团股东权益4,723.28 亿元，较上年末增长8.7%。其中，未分配利润2,212.55 亿",财务数据,32,56
元，较上年末增长18.8%，主要因本年实现净利润及利润分配所致。,财务数据,32,32
47.1%,财务数据,33,5
31.5%,财务数据,33,5
32.2%,财务数据,33,5
54.0%,财务数据,33,5
52.9%,财务数据,33,5
11.3%,财务数据,33,5
12.4%,财务数据,33,5
(6.0%),财务数据,33,6
(2.6%),财务数据,33,6
100.0%,财务数据,33,6
100.0%,财务数据,33,6
"账面价值为1,546.11 亿元，其中前十大面值金融债券的有关情况如下：",财务数据,33,36
本行无单个子公司的净利润或单个参股公司的投资收益对本行净利润影响达到10%以上。关于,财务数据,34,42
3.2.5 比较式会计报表中变化幅度超过30%以上项目的分析,财务数据,35,30
(41.5%),财务数据,35,7
64.8%,财务数据,35,5
47.1%,财务数据,35,5
166.7%,财务数据,35,6
(51.3%),财务数据,35,7
337.1%,财务数据,35,6
(36.1%),财务数据,35,7
38.7%,财务数据,35,5
(128.5%),财务数据,35,8
(85.4%),财务数据,35,7
310.7%,财务数据,35,6
基期数小，上年为1.31 亿元,财务数据,35,15
基期数小，上年为-0.35亿元,财务数据,35,15
2023 年，本集团经营活动产生的现金流量净额924.61 亿元，同比减少421.11 亿元，主要是吸收,财务数据,35,52
存款现金流入减少；投资活动产生的现金流量净额-261.42 亿元，同比减少440.00 亿元，主要是收回,财务数据,35,52
"债权投资收到的现金减少；筹资活动产生的现金流量净额80.89 亿元，同比增加1,694.94 亿元，主要",财务数据,35,52
2023 年，本行计提的发放贷款和垫款信用减值损失628.33 亿元，同比下降2.1%。2023 年末，,财务数据,35,52
不良贷款率1.06%，较上年末上升0.01 个百分点；拨备覆盖率277.63%，拨贷比2.94%，风险抵补能,财务数据,35,54
本行持续加强资产质量管控，加大问题资产处置力度，2023 年，本行核销贷款685.85 亿元，同,财务数据,35,48
比增长14.7%；收回不良资产总额325.95 亿元，其中收回已核销不良资产本金191.42 亿元（含收回,财务数据,35,53
已核销不良贷款177.79 亿元）；不良资产收回额中91.3%为现金收回，其余为以物抵债等方式收回。,财务数据,36,50
97.19%,财务数据,36,6
97.13%,财务数据,36,6
1.75%,财务数据,36,5
1.82%,财务数据,36,5
(1.4%),财务数据,36,6
1.06%,财务数据,36,5
1.05%,财务数据,36,5
0.56%,财务数据,36,5
0.57%,财务数据,36,5
0.32%,财务数据,36,5
0.29%,财务数据,36,5
10.9%,财务数据,36,5
0.18%,财务数据,36,5
0.19%,财务数据,36,5
(1.9%),财务数据,36,6
100.00%,财务数据,36,7
100.00%,财务数据,36,7
(1.1%),财务数据,36,6
(0.6%),财务数据,36,6
(17.9%),财务数据,36,7
1.06%,财务数据,36,5
1.05%,财务数据,36,5
277.63%,财务数据,36,7
290.28%,财务数据,36,7
469.25%,财务数据,36,7
419.22%,财务数据,36,7
374.10%,财务数据,36,7
351.08%,财务数据,36,7
2.94%,财务数据,36,5
3.04%,财务数据,36,5
42.0%,财务数据,37,5
0.63%,财务数据,37,5
38.5%,财务数据,37,5
0.61%,财务数据,37,5
35.7%,财务数据,37,5
0.74%,财务数据,37,5
32.6%,财务数据,37,5
0.72%,财务数据,37,5
58.0%,财务数据,37,5
1.37%,财务数据,37,5
61.5%,财务数据,37,5
1.32%,财务数据,37,5
0.30%,财务数据,37,5
0.28%,财务数据,37,5
15.1%,财务数据,37,5
2.77%,财务数据,37,5
17.4%,财务数据,37,5
2.68%,财务数据,37,5
16.0%,财务数据,37,5
1.23%,财务数据,37,5
18.1%,财务数据,37,5
1.08%,财务数据,37,5
18.0%,财务数据,37,5
0.83%,财务数据,37,5
17.5%,财务数据,37,5
0.74%,财务数据,37,5
100.0%,财务数据,37,6
1.06%,财务数据,37,5
100.0%,财务数据,37,6
1.05%,财务数据,37,5
2023 年末，本行企业贷款不良率0.63%，较上年末上升0.02 个百分点。本行持续迭代风险政策，,财务数据,37,50
2023 年末，本行个人贷款不良率1.37%，较上年末上升0.05 个百分点。2023 年，国内经济整体,财务数据,37,52
0.32%,财务数据,38,5
0.53%,财务数据,38,5
2.83%,财务数据,38,5
0.08%,财务数据,38,5
0.46%,财务数据,38,5
1.17%,财务数据,38,5
0.39%,财务数据,38,5
0.86%,财务数据,38,5
1.43%,财务数据,38,5
1.07%,财务数据,38,5
0.46%,财务数据,38,5
1.94%,财务数据,38,5
0.10%,财务数据,38,5
58.0%,财务数据,38,5
1.37%,财务数据,38,5
61.5%,财务数据,38,5
1.32%,财务数据,38,5
12.0%,财务数据,38,5
0.16%,财务数据,38,5
100.0%,财务数据,38,6
1.06%,财务数据,38,5
100.0%,财务数据,38,6
1.05%,财务数据,38,5
23.0%,财务数据,38,5
0.60%,财务数据,38,5
21.4%,财务数据,38,5
0.55%,财务数据,38,5
20.7%,财务数据,38,5
1.02%,财务数据,38,5
19.5%,财务数据,38,5
0.96%,财务数据,38,5
0.76%,财务数据,38,5
1.03%,财务数据,38,5
16.4%,财务数据,38,5
0.45%,财务数据,38,5
14.7%,财务数据,38,5
0.42%,财务数据,38,5
29.0%,财务数据,38,5
1.92%,财务数据,38,5
34.2%,财务数据,38,5
1.72%,财务数据,38,5
100.0%,财务数据,38,6
1.06%,财务数据,38,5
100.0%,财务数据,38,6
1.05%,财务数据,38,5
0.94%,财务数据,39,5
0.51%,财务数据,39,5
0.80%,财务数据,39,5
0.83%,财务数据,39,5
0.62%,财务数据,39,5
0.73%,财务数据,39,5
2023 年末，本行重组贷款余额320.30 亿元，较上年末增长87.2%，主要为个别对公大户债务重,财务数据,39,50
2023 年末，本行逾期贷款余额占比1.42%，较上年末下降0.14 个百分点。逾期60 天以上贷款（含,财务数据,39,52
本金未逾期，利息逾期60天以上贷款）余额267.43亿元，占发放贷款和垫款本金总额的比例为0.78%，,财务数据,39,51
损失。2023 年，本行计提的发放贷款和垫款信用减值损失为628.33 亿元。,财务数据,39,39
2.58%,财务数据,40,5
0.42%,财务数据,40,5
1.50%,财务数据,40,5
0.24%,财务数据,40,5
1.40%,财务数据,40,5
0.23%,财务数据,40,5
1.39%,财务数据,40,5
0.22%,财务数据,40,5
1.32%,财务数据,40,5
0.21%,财务数据,40,5
1.03%,财务数据,40,5
0.17%,财务数据,40,5
0.91%,财务数据,40,5
0.15%,财务数据,40,5
0.91%,财务数据,40,5
0.15%,财务数据,40,5
0.91%,财务数据,40,5
0.14%,财务数据,40,5
0.82%,财务数据,40,5
0.13%,财务数据,40,5
12.77%,财务数据,40,6
2.06%,财务数据,40,5
2023 年末，本行前十大贷款客户的贷款余额为701.23 亿元，占发放贷款和垫款本金总额的比例,财务数据,40,48
为2.06%。其中：本行前五大贷款客户贷款余额449.67 亿元，占发放贷款和垫款本金总额的比例为,财务数据,40,49
1.32%，本行前五大贷款客户与本行不存在关联关系。,财务数据,40,26
"2023 年末，本集团负债总额51,147.88 亿元，较上年末增长4.7%；吸收存款本金余额34,072.95 亿元，",财务数据,40,60
较上年末增长2.9%。同时，本集团净稳定资金比例、流动性覆盖率等负债质量管理监管指标均达到,财务数据,40,45
"推进零售业务变革转型。2023 年末，本行零售客户数12,543.20 万户，较上年末增长1.9%，管理零",业务回顾,41,53
"售客户资产（AUM）40,311.77 亿元，较上年末增长12.4%，全年零售业务营业收入占比58.4%。",财务数据,41,53
16.7%,财务数据,41,5
31.9%,财务数据,41,5
22.7%,财务数据,41,5
33.1%,财务数据,41,5
"本行个人存款余额12,076.18 亿元，较上年末增长16.7%；全年个人存款日均余额11,470.38 亿元，同",财务数据,41,57
比2022 年增长31.9%。,财务数据,41,15
客户数213.6 万户，较上年末增加68.6 万户；三是持续完善代发客群数字化经营体系，全方位赋能,业务回顾,41,49
"客群精细化经营。2023 年末，本行代发及批量业务客户带来的AUM 余额8,100.75 亿元，较上年末",业务回顾,41,52
"增长22.7%，带来客户存款余额2,992.26 亿元，较上年末增长33.1%。",财务数据,41,40
"车贷款投放力度。2023 年末，本行个人贷款余额19,777.19 亿元，较上年末下降3.4%，其中，抵押",财务数据,41,53
"类贷款余额11,623.16 亿元，较上年末增长4.8%。上述个人贷款中，住房按揭贷款余额3,035.68 亿元，",财务数据,41,57
"较上年末增长6.7%；经营性贷款余额6,147.68 亿元，较上年末增长5.6%；受外部经营环境变化影响，",财务数据,41,53
"消费性贷款余额5,452.91 亿元，较上年末下降9.5%，信用卡应收账款余额5,140.92 亿元，较上年末",财务数据,41,55
下降11.2%。,财务数据,41,8
"质客户的经营力度。2023 年末，本行信用卡流通户数5,388.91 万户，全年信用卡总消费金额27,815.04",业务回顾,42,57
"汽车消费金融产品体系，不断提升客户服务体验。2023 年末，本行汽车金融贷款余额3,024.75 亿元，",业务回顾,42,52
全年个人新能源汽车贷款新发放368.03 亿元，同比增长47.8%。,财务数据,42,34
12.0%,财务数据,42,5
18.2%,财务数据,42,5
"省时、又省钱”的服务体验。2023 年末，本行管理零售客户资产（AUM）40,311.77 亿元，较上年末",业务回顾,42,53
"增长12.4%，其中私行客户AUM 余额19,155.15 亿元，较上年末增长18.2%；本行财富客户137.75",财务数据,42,57
万户，较上年末增长8.9%，其中私行客户1 9.02 万户，较上年末增长12.0%。2023 年，本行实现财,财务数据,43,54
富管理手续费收入65.84 亿元，同比增长2.1%。,财务数据,43,26
保险产品；2023 年，本行实现代理个人保险收入29.89 亿元，同比增长50.7%。代销理财产品上，受,财务数据,43,52
外部经营环境影响，2023 年，本行实现代理个人理财收入9.48 亿元，同比下降5.7%。代销基金产品,财务数据,43,51
2023 年末，本行代理非货币公募基金持仓客户数较上年末增长13.6%。同时，聚焦顶级私行服务，,财务数据,43,48
持续优化综合金融解决方案，2023 年，本行协助客户新设立家族信托及保险金信托规模669.13 亿元，,财务数据,43,51
同比增长22.5%。,财务数据,43,10
医权益服务超2.2 万单，在线问诊超9.4 万单。,财务数据,43,25
等领域，2023 年末，本行“平安乐善”慈善权益已服务9.2 万捐赠人。,财务数据,43,36
"旅程体验，提升客户粘性。2023 年末，平安口袋银行APP 注册用户数16,603.91 万户，较上年末增",业务回顾,43,53
"长8.6%，其中，月活跃用户数（MAU）5,193.67 万户；本行AI 客户经理累计上线超2,300 个场景、",业务回顾,43,56
"服务客户近3,000 万户；本行客服一次性问题解决率、非人工服务占比均超90%；2023 年12 月，本",业务回顾,43,52
行客服NPS2值达86.8%，网点NPS 值达94.5%。,财务数据,43,29
1 私行客户标准为客户近三月任意一月的日均资产超过600万元。,财务数据,43,31
2 NPS=（推荐者数-贬损者数）/总样本数×100%，是一种计量某个客户将会向其他人推荐某个企业或服务可能性的指数；根据调研,业务回顾,43,63
模式高质量发展。2023 年，通过MGM 模式新获借记卡Ⅰ类户122.96 万户，占新获借记卡Ⅰ类户比,战略规划,44,51
例为29.8%。,财务数据,44,8
36.9%,财务数据,44,5
39.3%,财务数据,44,5
60.4%,财务数据,44,5
46.3%,财务数据,44,5
59.8%,财务数据,44,5
50.9%,财务数据,44,5
58.3%,财务数据,44,5
53.9%,财务数据,44,5
21.2%,财务数据,44,5
20.8%,财务数据,44,5
21.6%,财务数据,44,5
26.4%,财务数据,44,5
"款余额14,297.90 亿元，较上年末增长11.5%；企业存款余额21,996.77 亿元，较上年末下降3.4%，",财务数据,44,58
"资产投放规模3 2,045.52 亿元，同比增长32.5%。",财务数据,45,30
品货架，构建适合平安禀赋的小微特色模式。2023 年末，对公客户数75.40 万户，较上年末增加13.81,业务回顾,45,53
万户，增幅22.4%；专精特新合作客户数较上年末增长160.5%。,财务数据,45,33
本行互联网支付结算业务服务的平台企业交易笔数626.63 亿笔，同比增长110.9%；交易金额32.80,财务数据,45,52
万亿元，同比增长18.5%。,财务数据,45,14
"2023 年，本行供应链金融融资发生额13,331.85 亿元，同比增长14.1%。自“星云物联计划”落",财务数据,46,52
多个创新项目，支持实体经济融资发生额累计超1 万亿元。,财务数据,46,27
"客户数30,709 户，同比增长18.4%；直贴业务发生额10,462.71 亿元，同比增长35.1%。",财务数据,46,52
"境支付结算及融资服务需求。2023 年，本行跨境贸易融资发生额1,739.89 亿元。",财务数据,46,43
"2023 年，并购业务发生额382.55 亿元，银团业务发生额1,210.16 亿元。另一方面，把握直接融资市",财务数据,46,55
"业需求。2023 年，非金融债券承销业务发生额3,081.18 亿元。此外，升级基金及上市公司两大客群",财务数据,46,51
发行成本。2023年，本行债券交易量的市场份额为3.2%，绿色债券、小微债券、乡村振兴债券及其,财务数据,47,47
他可持续发展类债券交易量861.55亿元，同比增长209.9%。同时，本行积极贯彻落实国家持续推动金,财务数据,47,50
客户达578家，机构销售的现券交易量2.67万亿元，同比增长21.4%。2023年，本行荣获由中国外汇交,财务数据,47,52
"务实体发债融资。2023年，本行同业渠道销售债券规模2,079.08亿元，同比增长49.8%。",财务数据,47,47
"台累计合作客户达2,556户，通过“行e通”平台销售的第三方基金产品余额达1,856.20亿元，较上年",业务回顾,47,51
末增长66.8%。,财务数据,47,9
公募REITs等多元化产品托管，丰富托管产品体系。2023年末，本行托管净值规模8.70万亿元，较上,财务数据,47,50
年末增长5.8%；本行公募基金托管及第三方基金销售监管规模达1.75万亿元，较上年末增长9.4%。凭,财务数据,48,50
"务。2023年，在本行办理外汇即期及衍生品避险业务的客户达12,859户，同比增长11.8%。",财务数据,48,47
品质量、提升经营效率，助力业务高质量发展。2023年，本行IT资本性支出及费用投入63.43亿元，,财务数据,48,49
"提升客户体验；2023年，“AI+T+Offline”服务模式已为超4,700万客户提供服务，促成理财首购客户",业务回顾,48,55
104万户，占整体首购客户的比例近30%。,财务数据,48,21
"类业财非金融服务，赋能中小微企业经营，2023年末，数字口袋注册经营用户数1,891.62万户，较上",业务回顾,48,50
年末增长42.3%。队伍管理方面，持续完善“三好五星”客户经理团队评价体系，对公客户经理人均,财务数据,48,46
管理客户数较上年末增长约24%。,财务数据,48,16
"e通”在售公募基金产品达12,261款，较上年末增长29.0%。",财务数据,49,32
通”平台上线数电票功能，实现开票自助化、支付结算实时化、审核智能化；2023年，本行约60%开,财务数据,49,47
险自动化监测能力；2023年末，已实现超70%标准化业务秒级出账。零售风控方面，扩大模型数据源，,业务回顾,49,48
升级“特资e”平台，深耕生态化经营、开展多元化营销活动，平台累计注册用户破10万户。,业务回顾,49,42
设备、手机APP等多个重要平台部署虚拟数字人，减轻人工作业量，2023年末，虚拟数字人助力约45%,财务数据,49,49
全生命周期账户管理体系，2023年，每月约40万客户在线自助完成提额申请等服务。数字门店方面，,业务回顾,49,47
客超15万人。,其他,49,7
比增长4.3%，需求交付平均时间同比缩短约10%。一是构建自动化流水线，实现从开发、测试到部,财务数据,49,46
